"","team.A","team.B","p.A","wins.A","update.A","update.B","elo.A","elo.B"
"583","IBK기업은행","한국도로공사",0.39,1,10.4,-10.4,1441.46,1499.66
"584","우리카드","현대캐피탈",0.41,0,-7.02,7.02,1496.01,1571.31
"585","우리카드","현대캐피탈",0.39,1,10.31,-10.31,1506.33,1560.99
"586","우리카드","현대캐피탈",0.42,1,9.83,-9.83,1516.15,1551.17
"587","우리카드","현대캐피탈",0.45,1,9.35,-9.35,1525.51,1541.81
"588","KGC인삼공사","페퍼저축은행",0.75,1,4.29,-4.29,1486,1288.81
"589","KGC인삼공사","페퍼저축은행",0.76,0,-12.87,12.87,1473.13,1301.68
"590","KGC인삼공사","페퍼저축은행",0.73,1,4.62,-4.62,1477.75,1297.06
"591","KGC인삼공사","페퍼저축은행",0.74,1,4.44,-4.44,1482.19,1292.62
"592","한국전력","대한항공",0.31,0,-5.24,5.24,1469.75,1620.87
"593","한국전력","대한항공",0.3,1,11.98,-11.98,1481.73,1608.89
"594","한국전력","대한항공",0.32,0,-5.52,5.52,1476.21,1614.41
"595","한국전력","대한항공",0.31,1,11.71,-11.71,1487.93,1602.7
"596","한국전력","대한항공",0.34,0,-5.79,5.79,1482.14,1608.49
"597","GS칼텍스","현대건설",0.34,1,11.17,-11.17,1554.69,1645.29
"598","GS칼텍스","현대건설",0.37,0,-6.33,6.33,1548.35,1651.62
"599","GS칼텍스","현대건설",0.36,0,-6.05,6.05,1542.31,1657.67
"600","GS칼텍스","현대건설",0.34,1,11.22,-11.22,1553.53,1646.44
"601","GS칼텍스","현대건설",0.37,1,10.72,-10.72,1564.25,1635.72
"602","KB손해보험","삼성화재",0.46,1,9.11,-9.11,1411.47,1418.35
"603","KB손해보험","삼성화재",0.49,1,8.67,-8.67,1420.14,1409.68
"604","KB손해보험","삼성화재",0.52,0,-8.76,8.76,1411.38,1418.44
"605","KB손해보험","삼성화재",0.49,1,8.67,-8.67,1420.05,1409.76
"606","한국도로공사","흥국생명",0.38,0,-6.47,6.47,1493.18,1590.57
"607","한국도로공사","흥국생명",0.36,0,-6.18,6.18,1487.01,1596.75
"608","한국도로공사","흥국생명",0.35,0,-5.9,5.9,1481.11,1602.65
"609","우리카드","OK금융그룹",0.52,0,-8.82,8.82,1516.68,1521.06
"610","우리카드","OK금융그룹",0.49,1,8.61,-8.61,1525.29,1512.46
"611","우리카드","OK금융그룹",0.52,0,-8.81,8.81,1516.48,1521.27
"612","우리카드","OK금융그룹",0.49,1,8.62,-8.62,1525.09,1512.65
"613","우리카드","OK금융그룹",0.52,1,8.2,-8.2,1533.29,1504.46
"614","KGC인삼공사","IBK기업은행",0.56,1,7.51,-7.51,1489.7,1433.95
"615","KGC인삼공사","IBK기업은행",0.58,1,7.15,-7.15,1496.84,1426.8
"616","KGC인삼공사","IBK기업은행",0.6,1,6.81,-6.81,1503.65,1419.99
"617","현대캐피탈","한국전력",0.59,1,7.05,-7.05,1548.87,1475.08
"618","현대캐피탈","한국전력",0.6,0,-10.28,10.28,1538.59,1485.36
"619","현대캐피탈","한국전력",0.58,0,-9.79,9.79,1528.8,1495.15
"620","현대캐피탈","한국전력",0.55,0,-9.32,9.32,1519.47,1504.47
"621","페퍼저축은행","GS칼텍스",0.17,1,14.06,-14.06,1306.68,1550.2
"622","페퍼저축은행","GS칼텍스",0.2,0,-3.36,3.36,1303.32,1553.55
"623","페퍼저축은행","GS칼텍스",0.19,1,13.74,-13.74,1317.07,1539.81
"624","페퍼저축은행","GS칼텍스",0.22,1,13.31,-13.31,1330.37,1526.5
"625","KB손해보험","대한항공",0.25,1,12.71,-12.71,1432.76,1595.78
"626","KB손해보험","대한항공",0.28,1,12.22,-12.22,1444.98,1583.56
"627","KB손해보험","대한항공",0.31,1,11.72,-11.72,1456.7,1571.84
"628","한국도로공사","현대건설",0.29,1,12.05,-12.05,1493.16,1623.67
"629","한국도로공사","현대건설",0.32,1,11.55,-11.55,1504.71,1612.12
"630","한국도로공사","현대건설",0.35,0,-5.95,5.95,1498.75,1618.07
"631","한국도로공사","현대건설",0.33,1,11.31,-11.31,1510.06,1606.76
"632","삼성화재","우리카드",0.33,1,11.4,-11.4,1421.16,1521.89
"633","삼성화재","우리카드",0.36,0,-6.1,6.1,1415.06,1527.99
"634","삼성화재","우리카드",0.34,0,-5.83,5.83,1409.23,1533.82
"635","삼성화재","우리카드",0.33,1,11.42,-11.42,1420.66,1522.4
"636","삼성화재","우리카드",0.36,1,10.92,-10.92,1431.58,1511.48
"637","흥국생명","KGC인삼공사",0.64,0,-10.86,10.86,1591.79,1514.51
"638","흥국생명","KGC인삼공사",0.61,0,-10.36,10.36,1581.43,1524.87
"639","흥국생명","KGC인삼공사",0.58,1,7.13,-7.13,1588.56,1517.74
"640","흥국생명","KGC인삼공사",0.6,0,-10.21,10.21,1578.35,1527.95
"641","OK금융그룹","현대캐피탈",0.48,0,-8.13,8.13,1496.32,1527.61
"642","OK금융그룹","현대캐피탈",0.46,0,-7.74,7.74,1488.59,1535.34
"643","OK금융그룹","현대캐피탈",0.43,0,-7.36,7.36,1481.22,1542.71
"644","IBK기업은행","페퍼저축은행",0.63,1,6.35,-6.35,1426.35,1324.02
"645","IBK기업은행","페퍼저축은행",0.64,1,6.07,-6.07,1432.41,1317.95
"646","IBK기업은행","페퍼저축은행",0.66,1,5.8,-5.8,1438.21,1312.16
"647","한국전력","KB손해보험",0.57,1,7.34,-7.34,1511.81,1449.36
"648","한국전력","KB손해보험",0.59,1,6.99,-6.99,1518.8,1442.37
"649","한국전력","KB손해보험",0.61,0,-10.34,10.34,1508.46,1452.71
"650","한국전력","KB손해보험",0.58,0,-9.85,9.85,1498.61,1462.56
"651","한국전력","KB손해보험",0.55,1,7.62,-7.62,1506.23,1454.94
"652","GS칼텍스","한국도로공사",0.52,1,8.1,-8.1,1534.6,1501.97
"653","GS칼텍스","한국도로공사",0.55,0,-9.3,9.3,1525.3,1511.26
"654","GS칼텍스","한국도로공사",0.52,0,-8.84,8.84,1516.46,1520.11
"655","GS칼텍스","한국도로공사",0.49,0,-8.41,8.41,1508.05,1528.52
"656","우리카드","KB손해보험",0.58,1,7.13,-7.13,1518.61,1447.81
"657","우리카드","KB손해보험",0.6,1,6.79,-6.79,1525.4,1441.02
"658","우리카드","KB손해보험",0.62,0,-10.52,10.52,1514.87,1451.55
"659","우리카드","KB손해보험",0.59,0,-10.03,10.03,1504.84,1461.58
"660","우리카드","KB손해보험",0.56,0,-9.55,9.55,1495.29,1471.13
"661","KGC인삼공사","한국도로공사",0.5,0,-8.49,8.49,1519.47,1537
"662","KGC인삼공사","한국도로공사",0.47,0,-8.07,8.07,1511.39,1545.07
"663","KGC인삼공사","한국도로공사",0.45,0,-7.68,7.68,1503.72,1552.75
"664","현대캐피탈","OK금융그룹",0.59,1,7.01,-7.01,1549.72,1474.21
"665","현대캐피탈","OK금융그룹",0.61,1,6.68,-6.68,1556.4,1467.53
"666","현대캐피탈","OK금융그룹",0.63,0,-10.63,10.63,1545.77,1478.16
"667","현대캐피탈","OK금융그룹",0.6,1,6.87,-6.87,1552.64,1471.29
"668","페퍼저축은행","IBK기업은행",0.33,1,11.46,-11.46,1323.61,1426.76
"669","페퍼저축은행","IBK기업은행",0.36,0,-6.05,6.05,1317.56,1432.8
"670","페퍼저축은행","IBK기업은행",0.34,0,-5.78,5.78,1311.78,1438.58
"671","페퍼저축은행","IBK기업은행",0.33,0,-5.53,5.53,1306.26,1444.11
"672","대한항공","한국전력",0.59,1,6.91,-6.91,1578.75,1499.31
"673","대한항공","한국전력",0.61,0,-10.41,10.41,1568.34,1509.73
"674","대한항공","한국전력",0.58,0,-9.92,9.92,1558.42,1519.65
"675","대한항공","한국전력",0.56,0,-9.44,9.44,1548.98,1529.09
"676","현대건설","GS칼텍스",0.64,1,6.15,-6.15,1612.91,1501.9
"677","현대건설","GS칼텍스",0.65,1,5.87,-5.87,1618.78,1496.03
"678","현대건설","GS칼텍스",0.67,1,5.62,-5.62,1624.4,1490.41
"679","우리카드","삼성화재",0.59,0,-10.04,10.04,1485.25,1441.62
"680","우리카드","삼성화재",0.56,0,-9.56,9.56,1475.69,1451.18
"681","우리카드","삼성화재",0.54,0,-9.1,9.1,1466.59,1460.28
"682","KGC인삼공사","흥국생명",0.39,0,-6.7,6.7,1497.01,1585.05
"683","KGC인삼공사","흥국생명",0.38,0,-6.39,6.39,1490.62,1591.44
"684","KGC인삼공사","흥국생명",0.36,0,-6.1,6.1,1484.52,1597.55
"685","KB손해보험","OK금융그룹",0.5,1,8.5,-8.5,1479.64,1462.79
"686","KB손해보험","OK금융그룹",0.52,1,8.09,-8.09,1487.72,1454.7
"687","KB손해보험","OK금융그룹",0.55,1,7.69,-7.69,1495.42,1447.01
"688","한국도로공사","IBK기업은행",0.65,1,5.93,-5.93,1558.68,1438.19
"689","한국도로공사","IBK기업은행",0.67,1,5.66,-5.66,1564.34,1432.52
"690","한국도로공사","IBK기업은행",0.68,0,-11.58,11.58,1552.76,1444.1
"691","한국도로공사","IBK기업은행",0.65,1,5.92,-5.92,1558.69,1438.18
"692","한국전력","현대캐피탈",0.47,0,-7.92,7.92,1521.17,1560.56
"693","한국전력","현대캐피탈",0.44,1,9.46,-9.46,1530.63,1551.1
"694","한국전력","현대캐피탈",0.47,1,9,-9,1539.63,1542.1
"695","한국전력","현대캐피탈",0.5,1,8.56,-8.56,1548.19,1533.54
"696","GS칼텍스","페퍼저축은행",0.74,1,4.37,-4.37,1494.79,1301.88
"697","GS칼텍스","페퍼저축은행",0.75,1,4.21,-4.21,1499,1297.67
"698","GS칼텍스","페퍼저축은행",0.76,1,4.06,-4.06,1503.06,1293.61
"699","대한항공","삼성화재",0.62,1,6.38,-6.38,1555.35,1453.9
"700","대한항공","삼성화재",0.64,1,6.09,-6.09,1561.44,1447.82
"701","대한항공","삼성화재",0.66,0,-11.18,11.18,1550.26,1459
"702","대한항공","삼성화재",0.63,0,-10.68,10.68,1539.57,1469.68
"703","대한항공","삼성화재",0.6,0,-10.19,10.19,1529.39,1479.87
"704","현대건설","흥국생명",0.54,0,-9.16,9.16,1615.24,1606.7
"705","현대건설","흥국생명",0.51,0,-8.71,8.71,1606.54,1615.41
"706","현대건설","흥국생명",0.49,0,-8.28,8.28,1598.25,1623.69
"707","OK금융그룹","우리카드",0.47,1,8.98,-8.98,1455.98,1457.61
"708","OK금융그룹","우리카드",0.5,0,-8.46,8.46,1447.52,1466.07
"709","OK금융그룹","우리카드",0.47,1,8.95,-8.95,1456.48,1457.12
"710","OK금융그룹","우리카드",0.5,0,-8.48,8.48,1447.99,1465.6
"711","OK금융그룹","우리카드",0.47,1,8.93,-8.93,1456.92,1456.67
"712","IBK기업은행","KGC인삼공사",0.43,0,-7.37,7.37,1430.8,1491.9
"713","IBK기업은행","KGC인삼공사",0.41,0,-7.02,7.02,1423.78,1498.92
"714","IBK기업은행","KGC인삼공사",0.39,0,-6.69,6.69,1417.09,1505.61
"715","KB손해보험","한국전력",0.42,0,-7.22,7.22,1488.2,1555.41
"716","KB손해보험","한국전력",0.4,1,10.12,-10.12,1498.32,1545.28
"717","KB손해보험","한국전력",0.43,0,-7.36,7.36,1490.97,1552.64
"718","KB손해보험","한국전력",0.41,1,9.99,-9.99,1500.96,1542.65
"719","KB손해보험","한국전력",0.44,1,9.52,-9.52,1510.47,1533.13
"720","한국도로공사","GS칼텍스",0.58,0,-9.85,9.85,1548.84,1512.91
"721","한국도로공사","GS칼텍스",0.55,0,-9.38,9.38,1539.46,1522.28
"722","한국도로공사","GS칼텍스",0.52,1,8.08,-8.08,1547.54,1514.2
"723","한국도로공사","GS칼텍스",0.55,0,-9.31,9.31,1538.23,1523.52
"724","현대캐피탈","대한항공",0.51,0,-8.6,8.6,1524.94,1537.99
"725","현대캐피탈","대한항공",0.48,1,8.82,-8.82,1533.76,1529.17
"726","현대캐피탈","대한항공",0.51,1,8.39,-8.39,1542.15,1520.78
"727","현대캐피탈","대한항공",0.53,1,7.98,-7.98,1550.13,1512.8
"728","페퍼저축은행","현대건설",0.15,0,-2.51,2.51,1291.1,1600.76
"729","페퍼저축은행","현대건설",0.14,1,14.55,-14.55,1305.65,1586.21
"730","페퍼저축은행","현대건설",0.17,0,-2.82,2.82,1302.83,1589.03
"731","페퍼저축은행","현대건설",0.16,1,14.26,-14.26,1317.09,1574.77
"732","페퍼저축은행","현대건설",0.18,1,13.86,-13.86,1330.94,1560.92
"733","삼성화재","OK금융그룹",0.53,1,7.94,-7.94,1487.81,1448.98
"734","삼성화재","OK금융그룹",0.56,1,7.55,-7.55,1495.36,1441.43
"735","삼성화재","OK금융그룹",0.58,1,7.19,-7.19,1502.55,1434.24
"736","흥국생명","IBK기업은행",0.77,0,-13.03,13.03,1610.66,1430.12
"737","흥국생명","IBK기업은행",0.74,0,-12.56,12.56,1598.1,1442.68
"738","흥국생명","IBK기업은행",0.71,1,4.93,-4.93,1603.03,1437.75
"739","흥국생명","IBK기업은행",0.72,0,-12.26,12.26,1590.77,1450.01
"740","한국전력","우리카드",0.61,0,-10.34,10.34,1522.79,1467.01
"741","한국전력","우리카드",0.58,0,-9.85,9.85,1512.94,1476.86
"742","한국전력","우리카드",0.55,1,7.62,-7.62,1520.56,1469.24
"743","한국전력","우리카드",0.57,1,7.25,-7.25,1527.81,1461.99
"744","한국전력","우리카드",0.59,1,6.91,-6.91,1534.72,1455.08
"745","GS칼텍스","KGC인삼공사",0.53,0,-8.94,8.94,1514.58,1514.54
"746","GS칼텍스","KGC인삼공사",0.5,0,-8.5,8.5,1506.08,1523.04
"747","GS칼텍스","KGC인삼공사",0.48,1,8.91,-8.91,1514.99,1514.13
"748","GS칼텍스","KGC인삼공사",0.5,0,-8.52,8.52,1506.47,1522.65
"749","대한항공","KB손해보험",0.5,1,8.44,-8.44,1521.25,1502.03
"750","대한항공","KB손해보험",0.53,0,-8.97,8.97,1512.28,1511
"751","대한항공","KB손해보험",0.5,1,8.47,-8.47,1520.75,1502.53
"752","대한항공","KB손해보험",0.53,1,8.05,-8.05,1528.8,1494.48
"753","현대건설","한국도로공사",0.53,1,7.95,-7.95,1568.86,1530.28
"754","현대건설","한국도로공사",0.56,0,-9.44,9.44,1559.42,1539.72
"755","현대건설","한국도로공사",0.53,0,-8.98,8.98,1550.44,1548.71
"756","현대건설","한국도로공사",0.5,0,-8.54,8.54,1541.9,1557.25
"757","삼성화재","현대캐피탈",0.43,0,-7.34,7.34,1495.21,1557.47
"758","삼성화재","현대캐피탈",0.41,1,10.01,-10.01,1505.22,1547.46
"759","삼성화재","현대캐피탈",0.44,0,-7.47,7.47,1497.75,1554.93
"760","삼성화재","현대캐피탈",0.42,0,-7.11,7.11,1490.63,1562.05
"761","흥국생명","페퍼저축은행",0.82,1,3.11,-3.11,1593.88,1327.83
"762","흥국생명","페퍼저축은행",0.82,1,3.02,-3.02,1596.91,1324.81
"763","흥국생명","페퍼저축은행",0.83,1,2.94,-2.94,1599.84,1321.87
"764","OK금융그룹","한국전력",0.36,1,10.89,-10.89,1445.13,1523.83
"765","OK금융그룹","한국전력",0.39,1,10.39,-10.39,1455.52,1513.44
"766","OK금융그룹","한국전력",0.42,0,-7.1,7.1,1448.43,1520.53
"767","OK금융그룹","한국전력",0.4,0,-6.76,6.76,1441.67,1527.29
"768","OK금융그룹","한국전력",0.38,1,10.55,-10.55,1452.22,1516.74
"769","IBK기업은행","GS칼텍스",0.42,1,9.87,-9.87,1459.88,1496.6
"770","IBK기업은행","GS칼텍스",0.45,0,-7.6,7.6,1452.28,1504.21
"771","IBK기업은행","GS칼텍스",0.43,1,9.76,-9.76,1462.04,1494.45
"772","IBK기업은행","GS칼텍스",0.45,1,9.29,-9.29,1471.33,1485.16
"773","우리카드","대한항공",0.4,1,10.28,-10.28,1465.36,1518.52
"774","우리카드","대한항공",0.42,1,9.79,-9.79,1475.15,1508.73
"775","우리카드","대한항공",0.45,1,9.32,-9.32,1484.47,1499.41
"776","KGC인삼공사","현대건설",0.47,1,8.97,-8.97,1531.62,1532.93
"777","KGC인삼공사","현대건설",0.5,1,8.53,-8.53,1540.15,1524.4
"778","KGC인삼공사","현대건설",0.52,0,-8.89,8.89,1531.27,1533.28
"779","KGC인삼공사","현대건설",0.5,0,-8.45,8.45,1522.82,1541.73
"780","KGC인삼공사","현대건설",0.47,1,8.96,-8.96,1531.78,1532.77
"781","KB손해보험","현대캐피탈",0.4,0,-6.87,6.87,1487.61,1568.91
"782","KB손해보험","현대캐피탈",0.39,0,-6.55,6.55,1481.06,1575.46
"783","KB손해보험","현대캐피탈",0.37,1,10.75,-10.75,1491.82,1564.71
"784","KB손해보험","현대캐피탈",0.4,0,-6.74,6.74,1485.08,1571.45
"785","한국도로공사","페퍼저축은행",0.79,1,3.49,-3.49,1560.73,1318.39
"786","한국도로공사","페퍼저축은행",0.8,0,-13.62,13.62,1547.11,1332.01
"787","한국도로공사","페퍼저축은행",0.78,1,3.82,-3.82,1550.93,1328.19
"788","한국도로공사","페퍼저축은행",0.78,0,-13.31,13.31,1537.62,1341.5
"789","한국도로공사","페퍼저축은행",0.76,0,-12.85,12.85,1524.78,1354.34
"790","한국전력","삼성화재",0.54,0,-9.14,9.14,1507.6,1499.77
"791","한국전력","삼성화재",0.51,1,8.31,-8.31,1515.91,1491.46
"792","한국전력","삼성화재",0.54,0,-9.1,9.1,1506.81,1500.56
"793","한국전력","삼성화재",0.51,1,8.35,-8.35,1515.16,1492.21
"794","한국전력","삼성화재",0.53,1,7.94,-7.94,1523.1,1484.27
"795","GS칼텍스","흥국생명",0.34,1,11.21,-11.21,1496.36,1588.63
"796","GS칼텍스","흥국생명",0.37,0,-6.29,6.29,1490.07,1594.93
"797","GS칼텍스","흥국생명",0.35,0,-6.01,6.01,1484.06,1600.94
"798","GS칼텍스","흥국생명",0.34,0,-5.74,5.74,1478.32,1606.68
"799","현대캐피탈","우리카드",0.62,1,6.42,-6.42,1577.86,1478.05
"800","현대캐피탈","우리카드",0.64,1,6.12,-6.12,1583.99,1471.93
"801","현대캐피탈","우리카드",0.66,1,5.85,-5.85,1589.84,1466.08
"802","페퍼저축은행","KGC인삼공사",0.26,1,12.5,-12.5,1366.84,1519.28
"803","페퍼저축은행","KGC인삼공사",0.29,0,-4.99,4.99,1361.85,1524.27
"804","페퍼저축은행","KGC인삼공사",0.28,0,-4.79,4.79,1357.06,1529.07
"805","페퍼저축은행","KGC인삼공사",0.27,0,-4.6,4.6,1352.45,1533.67
"806","OK금융그룹","대한항공",0.43,0,-7.35,7.35,1444.87,1506.77
"807","OK금융그룹","대한항공",0.41,0,-7,7,1437.87,1513.77
"808","OK금융그룹","대한항공",0.39,0,-6.67,6.67,1431.19,1520.44
"809","IBK기업은행","현대건설",0.41,1,9.99,-9.99,1481.32,1522.78
"810","IBK기업은행","현대건설",0.44,1,9.51,-9.51,1490.83,1513.27
"811","IBK기업은행","현대건설",0.47,1,9.05,-9.05,1499.88,1504.22
"812","삼성화재","KB손해보험",0.5,1,8.52,-8.52,1492.79,1476.56
"813","삼성화재","KB손해보험",0.52,0,-8.9,8.9,1483.9,1485.45
"814","삼성화재","KB손해보험",0.5,0,-8.46,8.46,1475.43,1493.91
"815","삼성화재","KB손해보험",0.47,0,-8.05,8.05,1467.39,1501.96
"816","흥국생명","한국도로공사",0.62,1,6.53,-6.53,1613.21,1518.25
"817","흥국생명","한국도로공사",0.63,1,6.23,-6.23,1619.45,1512.01
"818","흥국생명","한국도로공사",0.65,1,5.95,-5.95,1625.4,1506.06
"819","우리카드","현대캐피탈",0.33,0,-5.59,5.59,1460.48,1595.43
"820","우리카드","현대캐피탈",0.32,0,-5.36,5.36,1455.13,1600.79
"821","우리카드","현대캐피탈",0.3,0,-5.13,5.13,1450,1605.92
"822","KGC인삼공사","페퍼저축은행",0.74,1,4.43,-4.43,1538.1,1348.02
"823","KGC인삼공사","페퍼저축은행",0.75,1,4.26,-4.26,1542.36,1343.76
"824","KGC인삼공사","페퍼저축은행",0.76,0,-12.89,12.89,1529.47,1356.65
"825","KGC인삼공사","페퍼저축은행",0.73,1,4.59,-4.59,1534.06,1352.06
"826","대한항공","OK금융그룹",0.63,1,6.36,-6.36,1526.8,1424.83
"827","대한항공","OK금융그룹",0.64,1,6.07,-6.07,1532.88,1418.76
"828","대한항공","OK금융그룹",0.66,1,5.8,-5.8,1538.68,1412.95
"829","현대건설","IBK기업은행",0.51,0,-8.61,8.61,1495.62,1508.48
"830","현대건설","IBK기업은행",0.48,1,8.81,-8.81,1504.43,1499.67
"831","현대건설","IBK기업은행",0.51,0,-8.62,8.62,1495.82,1508.28
"832","현대건설","IBK기업은행",0.48,1,8.8,-8.8,1504.62,1499.48
"833","현대건설","IBK기업은행",0.51,1,8.37,-8.37,1513,1491.11
"834","한국전력","삼성화재",0.58,1,7.15,-7.15,1530.25,1460.24
"835","한국전력","삼성화재",0.6,1,6.81,-6.81,1537.06,1453.43
"836","한국전력","삼성화재",0.62,1,6.49,-6.49,1543.55,1446.93
"837","GS칼텍스","흥국생명",0.3,1,11.9,-11.9,1490.21,1613.5
"838","GS칼텍스","흥국생명",0.33,0,-5.6,5.6,1484.61,1619.11
"839","GS칼텍스","흥국생명",0.32,0,-5.36,5.36,1479.25,1624.47
"840","GS칼텍스","흥국생명",0.3,1,11.86,-11.86,1491.11,1612.61
"841","GS칼텍스","흥국생명",0.33,1,11.36,-11.36,1502.46,1601.25
"842","KB손해보험","우리카드",0.57,0,-9.76,9.76,1492.2,1459.76
"843","KB손해보험","우리카드",0.55,0,-9.29,9.29,1482.91,1469.05
"844","KB손해보험","우리카드",0.52,1,8.16,-8.16,1491.07,1460.89
"845","KB손해보험","우리카드",0.54,0,-9.24,9.24,1481.83,1470.13
"846","한국도로공사","KGC인삼공사",0.46,0,-7.82,7.82,1498.24,1541.88
"847","한국도로공사","KGC인삼공사",0.44,1,9.56,-9.56,1507.81,1532.32
"848","한국도로공사","KGC인삼공사",0.46,1,9.1,-9.1,1516.9,1523.22
"849","한국도로공사","KGC인삼공사",0.49,0,-8.35,8.35,1508.56,1531.56
"850","한국도로공사","KGC인삼공사",0.47,0,-7.94,7.94,1500.62,1539.5
"851","한국전력","대한항공",0.51,0,-8.62,8.62,1534.93,1547.3
"852","한국전력","대한항공",0.48,0,-8.2,8.2,1526.73,1555.5
"853","한국전력","대한항공",0.46,1,9.2,-9.2,1535.94,1546.3
"854","한국전력","대한항공",0.49,0,-8.25,8.25,1527.69,1554.54
"855","GS칼텍스","현대건설",0.48,0,-8.24,8.24,1494.22,1521.24
"856","GS칼텍스","현대건설",0.46,0,-7.84,7.84,1486.38,1529.08
"857","GS칼텍스","현대건설",0.44,0,-7.46,7.46,1478.92,1536.54
"858","현대캐피탈","삼성화재",0.71,0,-12.14,12.14,1593.78,1459.07
"859","현대캐피탈","삼성화재",0.68,1,5.36,-5.36,1599.14,1453.71
"860","현대캐피탈","삼성화재",0.7,0,-11.86,11.86,1587.28,1465.58
"861","현대캐피탈","삼성화재",0.67,1,5.64,-5.64,1592.91,1459.94
"862","현대캐피탈","삼성화재",0.68,1,5.4,-5.4,1598.31,1454.54
"863","페퍼저축은행","흥국생명",0.19,1,13.73,-13.73,1365.79,1587.52
"864","페퍼저축은행","흥국생명",0.22,0,-3.71,3.71,1362.08,1591.23
"865","페퍼저축은행","흥국생명",0.21,0,-3.59,3.59,1358.49,1594.82
"866","페퍼저축은행","흥국생명",0.2,0,-3.47,3.47,1355.02,1598.29
"867","OK금융그룹","KB손해보험",0.4,1,10.16,-10.16,1423.12,1471.67
"868","OK금융그룹","KB손해보험",0.43,1,9.68,-9.68,1432.8,1461.99
"869","OK금융그룹","KB손해보험",0.46,0,-7.79,7.79,1425.01,1469.78
"870","OK금융그룹","KB손해보험",0.44,0,-7.41,7.41,1417.6,1477.19
"871","OK금융그룹","KB손해보험",0.42,0,-7.06,7.06,1410.54,1484.24
"872","IBK기업은행","한국도로공사",0.49,1,8.73,-8.73,1499.84,1491.89
"873","IBK기업은행","한국도로공사",0.51,0,-8.69,8.69,1491.14,1500.58
"874","IBK기업은행","한국도로공사",0.49,1,8.73,-8.73,1499.87,1491.85
"875","IBK기업은행","한국도로공사",0.51,1,8.3,-8.3,1508.18,1483.55
"876","우리카드","한국전력",0.42,1,9.9,-9.9,1480.02,1517.79
"877","우리카드","한국전력",0.45,1,9.42,-9.42,1489.44,1508.37
"878","우리카드","한국전력",0.47,1,8.96,-8.96,1498.41,1499.41
"879","KGC인삼공사","GS칼텍스",0.59,0,-9.97,9.97,1529.53,1488.89
"880","KGC인삼공사","GS칼텍스",0.56,0,-9.49,9.49,1520.04,1498.38
"881","KGC인삼공사","GS칼텍스",0.53,0,-9.03,9.03,1511.02,1507.41
"882","대한항공","현대캐피탈",0.44,1,9.57,-9.57,1564.11,1588.75
"883","대한항공","현대캐피탈",0.46,1,9.1,-9.1,1573.21,1579.64
"884","대한항공","현대캐피탈",0.49,1,8.66,-8.66,1581.87,1570.99
"885","현대건설","페퍼저축은행",0.74,1,4.42,-4.42,1540.96,1350.6
"886","현대건설","페퍼저축은행",0.75,0,-12.74,12.74,1528.22,1363.34
"887","현대건설","페퍼저축은행",0.72,0,-12.26,12.26,1515.97,1375.6
"888","현대건설","페퍼저축은행",0.69,1,5.24,-5.24,1521.21,1370.36
"889","현대건설","페퍼저축은행",0.7,1,5.03,-5.03,1526.23,1365.33
"890","KB손해보험","삼성화재",0.54,0,-9.22,9.22,1475.02,1463.77
"891","KB손해보험","삼성화재",0.52,0,-8.78,8.78,1466.24,1472.54
"892","KB손해보험","삼성화재",0.49,0,-8.35,8.35,1457.9,1480.89
"893","한국도로공사","흥국생명",0.34,0,-5.79,5.79,1477.76,1604.08
"894","한국도로공사","흥국생명",0.33,1,11.46,-11.46,1489.22,1592.62
"895","한국도로공사","흥국생명",0.36,1,10.96,-10.96,1500.18,1581.66
"896","한국도로공사","흥국생명",0.38,1,10.46,-10.46,1510.63,1571.2
"897","우리카드","OK금융그룹",0.62,1,6.4,-6.4,1504.8,1404.15
"898","우리카드","OK금융그룹",0.64,1,6.1,-6.1,1510.9,1398.04
"899","우리카드","OK금융그룹",0.66,1,5.83,-5.83,1516.74,1392.21
"900","KGC인삼공사","IBK기업은행",0.5,0,-8.57,8.57,1502.45,1516.75
"901","KGC인삼공사","IBK기업은행",0.48,1,8.85,-8.85,1511.3,1507.9
"902","KGC인삼공사","IBK기업은행",0.5,0,-8.58,8.58,1502.71,1516.48
"903","KGC인삼공사","IBK기업은행",0.48,1,8.84,-8.84,1511.55,1507.64
"904","KGC인삼공사","IBK기업은행",0.51,1,8.4,-8.4,1519.95,1499.24
"905","현대캐피탈","한국전력",0.6,0,-10.23,10.23,1560.76,1509.64
"906","현대캐피탈","한국전력",0.57,0,-9.74,9.74,1551.02,1519.38
"907","현대캐피탈","한국전력",0.55,0,-9.27,9.27,1541.75,1528.65
"908","GS칼텍스","페퍼저축은행",0.69,1,5.21,-5.21,1512.61,1360.12
"909","GS칼텍스","페퍼저축은행",0.71,1,4.99,-4.99,1517.6,1355.13
"910","GS칼텍스","페퍼저축은행",0.72,1,4.79,-4.79,1522.39,1350.34
"911","KB손해보험","대한항공",0.33,0,-5.59,5.59,1452.31,1587.46
"912","KB손해보험","대한항공",0.31,0,-5.35,5.35,1446.96,1592.81
"913","KB손해보험","대한항공",0.3,0,-5.13,5.13,1441.83,1597.94
"914","한국도로공사","현대건설",0.48,0,-8.12,8.12,1502.52,1534.35
"915","한국도로공사","현대건설",0.45,1,9.28,-9.28,1511.79,1525.07
"916","한국도로공사","현대건설",0.48,0,-8.18,8.18,1503.62,1533.25
"917","한국도로공사","현대건설",0.46,1,9.22,-9.22,1512.84,1524.03
