,경기번호,A팀,A팀Set1,A팀Set2,A팀Set3,A팀Set4,A팀Set5,A팀총점,B팀,B팀Set1,B팀Set2,B팀Set3,B팀Set4,B팀Set5,B팀총점,경기시간,Set1,Set2,Set3,Set4,Set5
235,236,한국도로공사,12,25,23,25,15,100,현대건설,25,21,25,20,9,100,경기시간,25   m,32   m,32   m,33   m,17   m
236,237,삼성화재,25,25,16,19,13,98,우리카드,22,20,25,25,15,107,경기시간,30   m,34   m,25   m,27   m,18   m
237,238,흥국생명,25,29,25,0,0,79,KGC인삼공사,16,27,22,0,0,65,경기시간,26   m,37   m,28   m,0    m,0    m
238,239,한국전력,25,20,25,25,0,95,OK금융그룹,18,25,20,21,0,84,경기시간,25   m,29   m,29   m,31   m,0    m
239,240,GS칼텍스,25,24,25,24,13,111,IBK기업은행,18,26,23,26,15,108,경기시간,25   m,30   m,28   m,31   m,18   m
240,241,현대캐피탈,20,25,25,25,12,107,KB손해보험,25,27,22,21,15,110,경기시간,28   m,32   m,29   m,31   m,19   m
241,242,페퍼저축은행,13,18,11,0,0,42,한국도로공사,25,25,25,0,0,75,경기시간,23   m,28   m,22   m,0    m,0    m
242,243,OK금융그룹,25,25,25,0,0,75,삼성화재,18,22,19,0,0,59,경기시간,26   m,30   m,28   m,0    m,0    m
243,244,IBK기업은행,15,13,16,0,0,44,흥국생명,25,25,25,0,0,75,경기시간,27   m,28   m,24   m,0    m,0    m
244,245,대한항공,25,25,20,23,16,109,우리카드,20,21,25,25,14,105,경기시간,27   m,28   m,27   m,33   m,20   m
245,246,현대건설,20,15,25,11,0,71,KGC인삼공사,25,25,23,25,0,98,경기시간,26   m,23   m,30   m,24   m,0    m
246,247,한국전력,22,25,23,22,0,92,KB손해보험,25,18,25,25,0,93,경기시간,29   m,26   m,29   m,32   m,0    m
247,248,GS칼텍스,20,17,23,0,0,60,한국도로공사,25,25,25,0,0,75,경기시간,29   m,25   m,29   m,0    m,0    m
248,249,OK금융그룹,25,25,25,0,0,75,현대캐피탈,16,23,22,0,0,61,경기시간,25   m,32   m,34   m,0    m,0    m
249,250,IBK기업은행,25,10,25,20,13,93,페퍼저축은행,21,25,12,25,15,98,경기시간,27   m,21   m,23   m,27   m,19   m
250,251,삼성화재,25,25,25,0,0,75,대한항공,20,22,22,0,0,64,경기시간,29   m,31   m,30   m,0    m,0    m
251,252,흥국생명,25,17,25,25,0,92,현대건설,23,25,23,20,0,91,경기시간,32   m,27   m,29   m,30   m,0    m
